"Accuracy","Cognate_status","Condition","Experiment","Item_type","Length","Lg10SUBTLEX_US","Participant","RT","Stimulus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Datenschutz_keyboard_response","correct_break_1_keyboard_response","correct_break_1_keyboard_response_1","correct_break_2_keyboard_response","correct_break_2_keyboard_response_1","correct_end_of_exp_keyboard_response","correct_end_of_prac_keyboard_response","correct_instructions_keyboard_response","correct_response","correct_stimulus_keyboard_response","correct_stimulus_keyboard_response_1","count_Datenschutz","count_Datenschutz_keyboard_response","count_break_1","count_break_1_1","count_break_1_keyboard_response","count_break_1_keyboard_response_1","count_break_2_keyboard_response","count_break_2_keyboard_response_1","count_break_2_sketchpad","count_break_2_sketchpad_1","count_end_of_exp","count_end_of_exp_keyboard_response","count_end_of_prac","count_end_of_prac_keyboard_response","count_experiment","count_experimental_loop","count_fixation","count_fixation_1","count_getting_started","count_instructions","count_instructions_keyboard_response","count_logger","count_logger_1","count_participants","count_practice_loop","count_stimulus","count_stimulus_1","count_stimulus_keyboard_response","count_stimulus_keyboard_response_1","count_trial_sequence","count_trial_sequence_1","count_variables","count_variables_1","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Datenschutz_keyboard_response","response_break_1_keyboard_response","response_break_1_keyboard_response_1","response_break_2_keyboard_response","response_break_2_keyboard_response_1","response_end_of_exp_keyboard_response","response_end_of_prac_keyboard_response","response_instructions_keyboard_response","response_stimulus_keyboard_response","response_stimulus_keyboard_response_1","response_time","response_time_Datenschutz_keyboard_response","response_time_break_1_keyboard_response","response_time_break_1_keyboard_response_1","response_time_break_2_keyboard_response","response_time_break_2_keyboard_response_1","response_time_end_of_exp_keyboard_response","response_time_end_of_prac_keyboard_response","response_time_instructions_keyboard_response","response_time_stimulus_keyboard_response","response_time_stimulus_keyboard_response_1","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Datenschutz","time_Datenschutz_keyboard_response","time_break_1","time_break_1_1","time_break_1_keyboard_response","time_break_1_keyboard_response_1","time_break_2_keyboard_response","time_break_2_keyboard_response_1","time_break_2_sketchpad","time_break_2_sketchpad_1","time_end_of_exp","time_end_of_exp_keyboard_response","time_end_of_prac","time_end_of_prac_keyboard_response","time_experiment","time_experimental_loop","time_fixation","time_fixation_1","time_getting_started","time_instructions","time_instructions_keyboard_response","time_logger","time_logger_1","time_participants","time_practice_loop","time_stimulus","time_stimulus_1","time_stimulus_keyboard_response","time_stimulus_keyboard_response_1","time_trial_sequence","time_trial_sequence_1","time_variables","time_variables_1","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1","NA","nonword","LDT","prac","8","NA","0","146","splorgue","63","63","675","675","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","f","1","NA","NA","NA","10","NA","10","NA","10","NA","10","NA","0","0","0","0","0","0","10","NA","NA","0","0","10","NA","0","0","10","NA","10","NA","10","NA","10","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","10","10","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","f","NA","NA","NA","NA","NA","NA","NA","space","f","NA","146.0","NA","NA","NA","NA","NA","NA","NA","4019","146","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","21486","NA","NA","1827","1827","22137","NA","1817","5847","21990","NA","21990","NA","21476","NA","22137","NA","NA","LDT","7","8107.0","12","yes","1920"
"0","NA","nonword","LDT","prac","8","NA","0","103","thwauche","58","58","631","631","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","f","0","NA","NA","NA","11","NA","11","NA","11","NA","11","NA","0","0","0","0","0","0","11","NA","NA","0","0","11","NA","0","0","11","NA","11","NA","11","NA","11","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","11","11","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","103.0","NA","NA","NA","NA","NA","NA","NA","4019","103","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","22768","NA","NA","1827","1827","23374","NA","1817","5847","23271","NA","23271","NA","22757","NA","23374","NA","NA","LDT","7","8210.0","13","yes","1920"
"0","NA","nonword","LDT","prac","8","NA","0","76","phrarmth","53","53","591","591","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","f","0","NA","NA","NA","12","NA","12","NA","12","NA","12","NA","0","0","0","0","0","0","12","NA","NA","0","0","12","NA","0","0","12","NA","12","NA","12","NA","12","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","12","12","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","76.0","NA","NA","NA","NA","NA","NA","NA","4019","76","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","24009","NA","NA","1827","1827","24589","NA","1817","5847","24513","NA","24513","NA","23999","NA","24589","NA","NA","LDT","7","8286.0","14","yes","1920"
"1","noncognate","word","LDT","prac","6","2.161368002","0","182","slayer","57","57","564","564","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","13","NA","13","NA","13","NA","13","NA","0","0","0","0","0","0","13","NA","NA","0","0","13","NA","0","0","13","NA","13","NA","13","NA","13","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","13","13","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","182.0","NA","NA","NA","NA","NA","NA","NA","4019","182","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","25209","NA","NA","1827","1827","25894","NA","1817","5847","25712","NA","25712","NA","25199","NA","25894","NA","NA","LDT","8","8468.0","15","yes","1920"
"1","NA","nonword","LDT","prac","8","NA","0","170","strautch","60","60","539","539","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","f","1","NA","NA","NA","14","NA","14","NA","14","NA","14","NA","0","0","0","0","0","0","14","NA","NA","0","0","14","NA","0","0","14","NA","14","NA","14","NA","14","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","14","14","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","f","NA","NA","NA","NA","NA","NA","NA","space","f","NA","170.0","NA","NA","NA","NA","NA","NA","NA","4019","170","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","26525","NA","NA","1827","1827","27200","NA","1817","5847","27029","NA","27029","NA","26515","NA","27200","NA","NA","LDT","9","8638.0","16","yes","1920"
"1","noncognate","word","LDT","prac","8","2.086359831","0","71","outsider","62","62","512","512","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","15","NA","15","NA","15","NA","15","NA","0","0","0","0","0","0","15","NA","NA","0","0","15","NA","0","0","15","NA","15","NA","15","NA","15","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","15","15","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","71.0","NA","NA","NA","NA","NA","NA","NA","4019","71","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","27795","NA","NA","1827","1827","28369","NA","1817","5847","28298","NA","28298","NA","27785","NA","28369","NA","NA","LDT","10","8709.0","17","yes","1920"
"1","noncognate","word","LDT","prac","8","2.117271296","0","91","examiner","64","64","488","488","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","16","NA","16","NA","16","NA","16","NA","0","0","0","0","0","0","16","NA","NA","0","0","16","NA","0","0","16","NA","16","NA","16","NA","16","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","16","16","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","91.0","NA","NA","NA","NA","NA","NA","NA","4019","91","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","28965","NA","NA","1827","1827","29562","NA","1817","5847","29469","NA","29470","NA","28956","NA","29562","NA","NA","LDT","11","8800.0","18","yes","1920"
"0","noncognate","word","LDT","prac","5","2.167317335","0","126","deuce","61","61","469","469","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","j","0","NA","NA","NA","17","NA","17","NA","17","NA","17","NA","0","0","0","0","0","0","17","NA","NA","0","0","17","NA","0","0","17","NA","17","NA","17","NA","17","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","17","17","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","f","NA","NA","NA","NA","NA","NA","NA","space","f","NA","126.0","NA","NA","NA","NA","NA","NA","NA","4019","126","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","30349","NA","NA","1827","1827","30979","NA","1817","5847","30853","NA","30853","NA","30338","NA","30979","NA","NA","LDT","11","8926.0","19","yes","1920"
"0","NA","nonword","LDT","prac","8","NA","0","99","treighth","57","57","451","451","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","f","0","NA","NA","NA","18","NA","18","NA","18","NA","18","NA","0","0","0","0","0","0","18","NA","NA","0","0","18","NA","0","0","18","NA","18","NA","18","NA","18","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","18","18","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","99.0","NA","NA","NA","NA","NA","NA","NA","4019","99","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","31545","NA","NA","1827","1827","32150","NA","1817","5847","32049","NA","32050","NA","31535","NA","32150","NA","NA","LDT","11","9025.0","20","yes","1920"
"1","noncognate","word","LDT","prac","6","2.117271296","0","115","bookie","60","60","435","435","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","19","NA","19","NA","19","NA","19","NA","0","0","0","0","0","0","19","NA","NA","0","0","19","NA","0","0","19","NA","19","NA","19","NA","19","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","19","19","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","115.0","NA","NA","NA","NA","NA","NA","NA","4019","115","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","32723","NA","NA","1827","1827","33342","NA","1817","5847","33226","NA","33226","NA","32713","NA","33342","NA","NA","LDT","12","9140.0","21","yes","1920"
